SC,名称,ema26,ema12
1301,極洋,2695.324752520693,2725.720730429538
1332,日本水産,493.68995776806423,501.38411490434663
1333,マルハニチロ,2298.408266183876,2307.2276788737904
1352,ホウスイ,902.885157661548,919.9109320957829
1376,カネコ種苗,1440.1783369918796,1434.6214505480716
1377,サカタのタネ,3572.711042674558,3568.356640477414
1379,ホクト,1981.4914172267859,1987.8362052972939
1380,秋川牧園,811.0324135622753,813.546863722395
1381,アクシーズ,2617.190368033454,2703.403208350138
1382,ホーブ,904.04467472475,913.3045436573614
1383,ベルグアース,2113.6721227471157,2104.0654385907133
1384,ホクリヨウ,638.5221308244298,643.7433131883131
1400,ルーデン・ホールディングス,187.01581517845355,200.32351615099816
1401,エムビーエス,724.9864140098435,733.5749291657987
1407,ウエストホールディングス,1823.5550659811865,1855.3232458602415
1413,ヒノキヤグループ,1688.9094304725072,1754.0888079044541
1414,ショーボンドホールディングス,4793.260959706496,4923.001152872228
1417,ミライト・ホールディングス,1487.0059102609662,1508.7736652457154
1418,インターライフホールディングス,187.05736934895776,189.35815471743402
1419,タマホーム,1296.4795170588384,1287.3989810264848
1420,サンヨーホームズ,629.6532802901336,638.8804058802615
1429,日本アクア,597.9151997992013,595.187009552618
1430,ファーストコーポレーション,532.348302097716,552.1081642415115
1431,Lib_Work,1770.706053744521,1893.7043292586839
1433,ベステラ,1041.825913512488,1065.162205022094
1434,JESCOホールディングス,328.4397898836811,338.55286856510867
1435,TATERU,161.87364092809955,172.73858476355267
1436,フィット,557.7939159307197,575.6724052082973
1438,岐阜造園,,
1439,安江工務店,,
1443,技研ホールディングス,315.286177175097,318.81741249156505
1446,キャンディル,518.9404927897582,531.4997215604773
1447,ITbookホールディングス,477.0619548762674,500.6781159175928
1448,スペースバリューホールディングス,365.35788750818745,371.08178756975445
1450,田中建設工業,,
1451,KHC,588.3142080025576,606.1619521851477
1491,中外鉱業,17.099718021340863,17.43212887509184
1514,住石ホールディングス,116.64733982768207,118.5615653738622
1515,日鉄鉱業,4505.336706382308,4506.849533965831
1518,三井松島ホールディングス,875.0919450277952,887.9199809189097
1605,国際石油開発帝石,740.1553798489438,756.2982568643193
1662,石油資源開発,2028.6070610515198,2055.1938189522098
1663,K＆Oエナジーグループ,1550.0217862647044,1541.4480042666855
1711,省電舎ホールディングス,298.6093912636441,312.891056387459
1712,ダイセキ環境ソリューション,1004.8766600450944,1004.0105150584761
1716,第一カッター興業,1902.4490298965136,2015.1650655493152
1717,明豊ファシリティワークス,556.3608319947276,563.168420299019
1718,美樹工業,,
1719,安藤・間,683.7405461035572,685.3563001385179
1720,東急建設,580.48322373709,587.2367264961949
1721,コムシスホールディングス,2970.2529021818377,2988.228426528072
1723,日本電技,3219.85317097392,3206.8129076612313
1724,シンクレイヤ,848.9420108761578,853.5673111629658
1726,ビーアールホールディングス,546.929448642111,560.2824397953901
1728,ミサワホーム中国,244.1786689797796,249.33904429961925
1730,麻生フオームクリート,,
1734,北弘電社,,
1736,オーテック,,
1737,三井金属エンジニアリング,780.5163842288318,807.6173602472329
1738,NITTOH,,
1739,シード平和,704.3402763886446,717.423168690831
1743,コーアツ工業,,
1757,クレアホールディングス,34.06732365426775,41.88760439340267
1758,太洋基礎工業,5446.24477383913,5693.142562548854
1762,高松コンストラクショングループ,2375.600827336734,2389.6353510291424
1764,工藤建設,,
1766,東建コーポレーション,7357.669071542207,7347.887439629638
1768,ソネック,800.5681022367136,824.3261068501819
1770,藤田エンジニアリング,707.3954368807083,729.7099970996404
1771,日本乾溜工業,455.5207539920445,471.2619344239301
1773,ワイ・ティー・エル・コーポレーション・バーハッド（外国株）,21.145185072631403,21.887535655722004
1775,富士古河E＆C,1838.7954425898467,1894.604672640699
1776,三井住建道路,796.9332953818688,808.871509768643
1777,川崎設備工業,,
1780,ヤマウラ,801.4168564560008,815.545366574239
1782,常磐開発,,
1783,アジアゲートホールディングス,48.01568525979381,49.87992819024154
1788,三東工業社,,
1789,ETSホールディングス,809.8917954852177,829.40289426992
1793,大本組,,
1795,マサル,,
1798,守谷商会,,
1799,第一建設工業,,
1801,大成建設,3782.982751300239,3931.879246605914
1802,大林組,1013.1036001634138,1043.3161659398424
1803,清水建設,895.2901306401276,910.6557738740647
1805,飛島建設,1103.7043412817873,1122.1117051771053
1807,佐藤渡辺,,
1808,長谷工コーポレーション,1297.6171171666108,1342.9674571599298
1810,松井建設,645.813368883174,657.1121646594031
1811,錢高組,3714.940368684105,3810.298251268515
1812,鹿島建設,1224.7645779865593,1262.3524835768605
1813,不動テトラ,1407.6500764269995,1437.4185944671945
1814,大末建設,782.099365579456,799.7917128396083
1815,鉄建建設,2180.1781148639375,2171.2057993207764
1820,西松建設,2105.394306279659,2121.503701605172
1821,三井住友建設,464.3653779155306,475.6713854791446
1822,大豊建設,2437.3827379696722,2460.5160439228725
1824,前田建設工業,854.2381694245869,861.1522263990995
1826,佐田建設,402.25805762778805,411.10084362952387
1827,ナカノフドー建設,380.7963957054621,385.6132385149727
1828,田辺工業,719.8237438258882,729.9755419361932
1832,北海電気工事,,
1833,奥村組,2530.1849040885572,2573.7224794685326
1835,東鉄工業,2785.1569588833745,2786.1788615229143
1840,土屋ホールディングス,145.31012106927457,148.62791669912968
1841,サンユー建設,,
1844,大盛工業,224.41847516983066,231.02179949466284
1847,イチケン,1469.3838666178783,1541.0361076610632
1848,富士ピー・エス,553.6359125577638,568.0192740057331
1850,南海辰村建設,283.61907202995974,291.4461731295584
1852,淺沼組,4092.305869045999,4251.675663932894
1853,森組,256.30350161011893,260.4719154882253
1860,戸田建設,677.3021679596052,696.7212561962197
1861,熊谷組,2579.003943486783,2643.8563224272775
1866,北野建設,2610.296129221355,2634.33159405343
1867,植木組,2460.50473419912,2463.5279480334507
1869,名工建設,,
1870,矢作建設工業,777.4404539727923,784.3768102316928
1871,ピーエス三菱,548.1973913305335,549.765527271651
