SC,名称,20200611,20200612
1301,極洋,2696.2,2701.72
1332,日本水産,488.96,489.64
1333,マルハニチロ,2297.56,2295.6
1352,ホウスイ,914.4,915.12
1376,カネコ種苗,1454.72,1454.76
1377,サカタのタネ,3631.8,3624.0
1379,ホクト,1988.56,1989.4
1380,秋川牧園,808.16,807.52
1381,アクシーズ,2588.72,2600.36
1382,ホーブ,901.72,902.04
1383,ベルグアース,2074.24,2075.76
1384,ホクリヨウ,638.04,639.8
1400,ルーデン・ホールディングス,182.0,183.6
1401,エムビーエス,734.4,735.84
1407,ウエストホールディングス,1866.88,1864.92
1413,ヒノキヤグループ,1683.96,1685.2
1414,ショーボンドホールディングス,4794.0,4813.4
1417,ミライト・ホールディングス,1498.16,1499.32
1418,インターライフホールディングス,188.08,188.0
1419,タマホーム,1343.0,1340.76
1420,サンヨーホームズ,625.12,626.76
1429,日本アクア,598.48,596.32
1430,ファーストコーポレーション,532.16,534.4
1431,Lib_Work,1722.4,1745.72
1433,ベステラ,1034.76,1035.04
1434,JESCOホールディングス,330.4,332.12
1435,TATERU,161.0,163.16
1436,フィット,544.84,549.0
1438,岐阜造園,,
1439,安江工務店,,
1443,技研ホールディングス,322.56,322.2
1444,ニッソウ,3063.6,3075.6
1446,キャンディル,519.8,519.8
1447,ITbookホールディングス,470.04,471.92
1448,スペースバリューホールディングス,365.32,365.8
1449,FUJIジャパン,,
1450,田中建設工業,2953.48,2959.32
1451,KHC,586.0,589.16
1491,中外鉱業,17.24,17.32
1514,住石ホールディングス,114.92,115.16
1515,日鉄鉱業,4569.4,4564.0
1518,三井松島ホールディングス,862.92,863.44
1605,国際石油開発帝石,738.4,739.584
1662,石油資源開発,2028.68,2030.36
1663,K＆Oエナジーグループ,1556.36,1553.28
1711,省電舎ホールディングス,298.72,301.4
1712,ダイセキ環境ソリューション,1024.12,1020.4
1716,第一カッター興業,1860.6,1880.16
1717,明豊ファシリティワークス,567.08,566.88
1718,美樹工業,,
1719,安藤・間,684.0,682.2
1720,東急建設,579.08,579.24
1721,コムシスホールディングス,2999.0,2995.68
1723,日本電技,3300.2,3294.4
1724,シンクレイヤ,859.24,855.6
1726,ビーアールホールディングス,547.68,549.76
1728,ミサワホーム中国,249.44,250.0
1730,麻生フオームクリート,487.64,492.28
1736,オーテック,,
1737,三井金属エンジニアリング,778.32,782.28
1738,NITTOH,,
1739,シード平和,710.72,710.92
1743,コーアツ工業,,
1757,クレアホールディングス,28.84,30.08
1758,太洋基礎工業,5322.0,5397.8
1762,高松コンストラクショングループ,2383.76,2385.36
1764,工藤建設,,
